Company,Industry,Layoff Date,Ticker
nCino,Finance,2023-01-18,NCNO
Starry,Other,2023-01-18,
Bally's Interactive,Consumer,2023-01-18,BALY
Cazoo,Transportation,2023-01-18,Not Found
Lucid Diagnostics,Healthcare,2023-01-18,
Redbubble,Retail,2023-01-18,Not Found
Lightspeed Commerce,Retail,2023-01-17,TSX
Unity,Other,2023-01-17,
RingCentral,Other,2023-01-17,RNG
Avaya,Other,2023-01-17,Not Found
LiveVox,Support,2023-01-17,NICE
Oracle,Other,2023-01-17,
XP,Finance,2023-01-17,
PagBank,Finance,2023-01-16,PAGS
Carvana,Transportation,2023-01-13,CVNA
Lending Club,Finance,2023-01-12,LC
Definitive Healthcare,Healthcare,2023-01-12,
Akili Labs,Healthcare,2023-01-12,
Life360,Consumer,2023-01-12,Not Found
Qualtrics,Other,2023-01-11,Not Found
HashiCorp,Security,2023-01-11,Not Found
Coinbase,Crypto,2023-01-10,COIN
Informatica,Data,2023-01-10,INFA
Blend,Finance,2023-01-10,
Thinkific,Education,2023-01-10,
Fate Therapeutics,Healthcare,2023-01-09,
Century Therapeutics,Healthcare,2023-01-09,Not Found
Editas Medicine,Healthcare,2023-01-09,EDIT
WalkMe,Other,2023-01-08,
Cue,Healthcare,2023-01-05,
SoundHound,Other,2023-01-05,SOUN
Twitter,Consumer,2023-01-05,Not Found
Compass,Real Estate,2023-01-05,
Megaport,Infrastructure,2023-01-05,
Stitch Fix,Retail,2023-01-05,SFIX
TCR2,Healthcare,2023-01-05,
Amazon,Retail,2023-01-04,
Salesforce,Sales,2023-01-04,CRM
Kaltura,Media,2023-01-04,KLTR
Butterfly Network,Healthcare,2023-01-04,
Vimeo,Consumer,2023-01-04,VMEO
Pegasystems,HR,2023-01-03,PEGA
Amdocs,Support,2023-01-02,DOX
Micron,Hardware,2023-01-01,
Bilibili,Media,2022-12-27,Not Found
Qualcomm,Hardware,2022-12-22,QCOM
TuSimple,Transportation,2022-12-21,TSPH
Xiaomi,Consumer,2022-12-19,Not Found
 E Inc.,Transportation,2022-12-16,Not Found
BigCommerce,Retail,2022-12-15,BIGC
Freshworks,Support,2022-12-15,FRSH
JD.ID,Retail,2022-12-14,JD
Quanergy Systems,Transportation,2022-12-14,
Edgio,Infrastructure,2022-12-13,Not Found
Viant,Marketing,2022-12-13,Not Found
Playtika,Consumer,2022-12-09,PLTK
N-able Technologies,Other,2022-12-09,SWI
Otonomo,Transportation,2022-12-08,Not Found
TechTarget,Marketing,2022-12-08,TTGT
Bakkt,Crypto,2022-12-08,BKKT
Blue Apron,Food,2022-12-08,Not Found
Lenovo,Hardware,2022-12-08,Not Found
Nerdy,Education,2022-12-08,
Doma,Finance,2022-12-06,
Intel,Hardware,2022-12-06,INTC
BuzzFeed,Media,2022-12-06,BZFD
Adobe,Marketing,2022-12-06,
Zuora,Finance,2022-12-06,Not Found
Thinkific,Education,2022-12-05,
Springbig,Sales,2022-12-01,
SQZ Biotech,Healthcare,2022-12-01,
Synlogic,Healthcare,2022-12-01,Not Found
DoorDash,Food,2022-11-30,DASH
Elastic,Data,2022-11-30,
Pinterest,Consumer,2022-11-30,Not Found
Codexis,Healthcare,2022-11-29,CDXS
SWVL,Transportation,2022-11-23,SWVL
Western Digital,Hardware,2022-11-22,WDC
Natera,Healthcare,2022-11-22,NTRA
Jumia,Retail,2022-11-21,JMIA
Carvana,Transportation,2022-11-18,CVNA
Roku,Media,2022-11-17,
Homepoint,Real Estate,2022-11-17,
Amazon,Retail,2022-11-16,
Cisco,Infrastructure,2022-11-16,CSCO
Similarweb,Other,2022-11-16,Not Found
Pear Therapeutics,Healthcare,2022-11-16,
D2L,Education,2022-11-16,DTOL
UiPath,Data,2022-11-15,PATH
Asana,Other,2022-11-15,
Deliveroo Australia,Food,2022-11-15,ROO
Oatly,Food,2022-11-15,OTLY
Rubicon Technologies,Other,2022-11-15,
Tencent,Consumer,2022-11-15,Not Found
Whispir,Other,2022-11-15,
Illumina,Healthcare,2022-11-14,
Sema4,Healthcare,2022-11-14,
Science 37 ,Healthcare,2022-11-14,Not Found
Pear Therapeutics,Healthcare,2022-11-14,
Cardlytics,Marketing,2022-11-14,
Tricida,Healthcare,2022-11-14,
Offerpad,Real Estate,2022-11-11,
GoTo Group,Transportation,2022-11-10,Not Found
Blend,Finance,2022-11-10,
Coinbase,Crypto,2022-11-10,COIN
SoundHound,Other,2022-11-10,SOUN
Meta,Consumer,2022-11-09,
Redfin,Real Estate,2022-11-09,RDFN
Root Insurance,Finance,2022-11-09,ROOT
Coursera,Education,2022-11-09,
RingCentral,Other,2022-11-09,RNG
Spotify,Media,2022-11-09,Not Found
EverBridge,Other,2022-11-08,Not Found
Astra,Aerospace,2022-11-08,
NanoString,Healthcare,2022-11-08,NSTGQ
Salesforce,Sales,2022-11-07,CRM
Varonis,Security,2022-11-06,VRNS
Twitter,Consumer,2022-11-04,Not Found
Lyft,Transportation,2022-11-03,LYFT
